CAMERA;(22.743046, -25.152658, 7.215627);(79.333289, -0.000101, -318.866753);(83.974423, 0.100000, 100.000000);(960, 540);(1.709229, 1.709229)
OBJECT;5;(0.000000, 0.000000, 0.000000);(2.000000, 2.000000, 2.000000);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-2.000000, 0.000000, 0.000000);(2.000000, 2.000000, 2.000000);(0.000000, 0.000000, 0.000000)
OBJECT;5;(2.000000, 0.000000, 0.000000);(2.000000, 2.000000, 2.000000);(0.000000, 0.000000, 0.000000)
OBJECT;5;(0.000000, 2.000000, 0.000000);(2.000000, 2.000000, 2.000000);(0.000000, 0.000000, 0.000000)
OBJECT;5;(0.000000, -2.000000, 0.000000);(2.000000, 2.000000, 2.000000);(0.000000, 0.000000, 0.000000)
OBJECT;5;(0.000000, 0.000000, 2.000000);(2.000000, 2.000000, 2.000000);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-0.000000, 0.000000, -2.000000);(2.000000, 2.000000, 2.000000);(0.000000, 0.000000, 0.000000)
OBJECT;5;(0.000000, 14.772116, 2.604723);(2.000000, 2.316912, 2.316912);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-14.772116, -0.000000, 2.604723);(2.316913, 2.000001, 2.316912);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-14.095389, -0.000001, 5.130302);(2.563426, 2.000001, 2.563426);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-12.990381, -0.000001, 7.500000);(2.732051, 2.000000, 2.732051);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-11.490666, -0.000001, 9.641813);(2.817665, 2.000000, 2.817665);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-9.641814, -0.000002, 11.490666);(2.817664, 2.000000, 2.817665);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-7.500000, -0.000002, 12.990380);(2.732051, 2.000001, 2.732051);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-5.130302, -0.000002, 14.095388);(2.563426, 2.000001, 2.563426);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-2.604723, -0.000002, 14.772116);(2.316912, 2.000001, 2.316912);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-0.000001, -0.000002, 15.000000);(2.000001, 2.000001, 2.000001);(0.000000, 0.000000, 0.000000)
OBJECT;5;(2.604722, -0.000002, 14.772118);(2.316912, 2.000001, 2.316912);(0.000000, 0.000000, 0.000000)
OBJECT;5;(5.130301, -0.000002, 14.095389);(2.563426, 2.000001, 2.563426);(0.000000, 0.000000, 0.000000)
OBJECT;5;(7.499999, -0.000002, 12.990381);(2.732051, 2.000001, 2.732051);(0.000000, 0.000000, 0.000000)
OBJECT;5;(9.641812, -0.000002, 11.490666);(2.817665, 2.000001, 2.817664);(0.000000, 0.000000, 0.000000)
OBJECT;5;(11.490665, -0.000001, 9.641814);(2.817665, 2.000001, 2.817664);(0.000000, 0.000000, 0.000000)
OBJECT;5;(12.990379, -0.000001, 7.500001);(2.732052, 2.000001, 2.732051);(0.000000, 0.000000, 0.000000)
OBJECT;5;(14.095388, -0.000001, 5.130302);(2.563426, 2.000001, 2.563426);(0.000000, 0.000000, 0.000000)
OBJECT;5;(14.772116, -0.000000, 2.604725);(2.316913, 2.000001, 2.316913);(0.000000, 0.000000, 0.000000)
OBJECT;5;(15.000001, 0.000000, 0.000002);(2.000001, 2.000001, 2.000001);(0.000000, 0.000000, 0.000000)
OBJECT;5;(14.772116, 0.000000, -2.604720);(2.316913, 2.000001, 2.316913);(0.000000, 0.000000, 0.000000)
OBJECT;5;(14.095389, 0.000001, -5.130301);(2.563426, 2.000001, 2.563426);(0.000000, 0.000000, 0.000000)
OBJECT;5;(12.990381, 0.000001, -7.499999);(2.732051, 2.000001, 2.732051);(0.000000, 0.000000, 0.000000)
OBJECT;5;(11.490666, 0.000001, -9.641812);(2.817665, 2.000001, 2.817665);(0.000000, 0.000000, 0.000000)
OBJECT;5;(9.641815, 0.000002, -11.490664);(2.817664, 2.000001, 2.817665);(0.000000, 0.000000, 0.000000)
